idPalavra;palavra;descricao;imagem;
NULL;Account;Uma Account(Conta) é uma identidade criada por uma pessoa para um computador ou um sistema. User Accounts(Conta de Usuário) também podem ser criadas para máquinas e softwares como contas para acessar programas, contas de sistemas de gerenciamento de arquivos e processos, e também contas administradoras para administração de um sistema.;account;https://www.google.com/account/about/
NULL;Algoritmo;"Em matemática e ciência da computação, um algoritmo é uma sequência finita de ações executáveis que visam obter uma solução para um determinado tipo de problema. Segundo Dasgupta, Papadimitriou e Vazirani; ""Algoritmos são procedimentos precisos, não ambíguos, padronizados, eficientes e corretos.""";algoritmo;https://rockcontent.com/br/blog/algoritmo/#:~:text=Um%20algoritmo%20%C3%A9%20uma%20sequ%C3%AAncia,matem%C3%A1tico%20%C3%A1rabe%20do%20s%C3%A9culo%20IX.
NULL;Android;Android é um sistema operacional baseado no núcleo Linux, desenvolvido por um consórcio de desenvolvedores conhecido como Open Handset Alliance, sendo o principal colaborador o Google.;android;https://www.android.com/intl/pt-BR_br/
NULL;Antivirus;Programa de proteção do computador que detecta e elimina os vírus (certos programas danosos) nele existentes, assim como impede sua instalação e propagação.;antivirus;https://canaltech.com.br/antivirus/o-que-e-antivirus/
NULL;API;API significa Application Programming Interface (Interface de Programação de Aplicação). No contexto de APIs, a palavra Aplicação refere-se a qualquer software com uma função distinta. A interface pode ser pensada como um contrato de serviço entre duas aplicações.;api;https://aws.amazon.com/pt/what-is/api/
NULL;APU;APU é a Unidade de Processamento Acelerado. É uma tecnologia recente, que substitui a CPU e a GPU convencional. A intenção é colocar a atividade dessas duas peças em um único chip, que ocupa menos espaço.;apu;https://canaltech.com.br/hardware/o-que-e-uma-apu-1381/
NULL;Arduino;O arduino é uma plataforma de prototipagem (processo de criação e fabricação de protótipos), open source (código aberto), criado para que o desenvolvimento de projetos tivesse um preço acessível para qualquer pessoa.;arduino;https://canaltech.com.br/hardware/o-que-e-arduino/
NULL;Arquivo;Arquivo é um conjunto de documentos produzidos e recebidos por uma instituição, seja ela pública ou privada, em decorrência de suas funções e atividades. Documentos de arquivo são todos aqueles que são acumulados nas instituições, podendo estar no suporte analógico (o papel) ou no suporte digital (originários das tecnologias digitais).;arquivo;https://www.estadovirtual.com.br/o-que-e-arquivo/
NULL;Backup;Ato de fazer cópias de segurança de um ambiente, aplicação ou dados em um determinado momento para a recuperação do sistema em caso de falhas.;backup;https://tecnoblog.net/responde/o-que-e-backup/
NULL;Binario;O sistema binário é usado pelos computadores é e constituído de dois dígitos o 0 e o 1. A combinação desses dígitos leva o computador a criar várias informações: letras, palavras, textos, cálculos. ;binario;https://www.significados.com.br/binario/
